Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Abdolalizadeh, AmirHussein; Nazeri, Arash; Roostaei, Tina; Sahraian, Mohammad Ali; Sadaghiani, Shokufeh; Mohajer, Bahram; Aarabi, Mohammad Hadi; ",Statistical Brain Network Analysis in Female Relapsing Remitting Multiple Sclerosis Patients Using Diffusion Tensor Imaging,,,,,,
"Abdolalizadeh, Amirhussein; Nabavi, Samaneh; ",Visual attention and poor sleep quality,Frontiers in neuroscience,16,,850372,2022,Frontiers Media SA
"Abdolalizadeh, AmirHussein; Ohadi, Mohammad Amin Dabbagh; Ershadi, Amir Sasan Bayani; Aarabi, Mohammad Hadi; ",Graph theoretical approach to brain remodeling in multiple sclerosis,Network Neuroscience,7,1,148-159,2023,MIT Press
"Abdolalizadeh, AmirHussein; Moradi, Kamyar; Dabbagh Ohadi, Mohammad Amin; Mirfazeli, Fatemeh Sadat; Rajimehr, Reza; ",Larger left hippocampal presubiculum is associated with lower risk of antisocial behavior in healthy adults with childhood conduct history,Scientific reports,13,1,6148,2023,Nature Publishing Group UK London
"Saleh, A Abdolalizadeh; Burkhardt, M; Gießing, C; Thiel, C; ",Dopamine-driven functional network dynamics: Unraveling network flexibility in Parkinson's disease,Clinical Neurophysiology,159,,e35,2024,Elsevier
"Seyedmirzaei, Homa; Soltani Khaboushan, Alireza; Abdolalizadeh, Amirhussein; Aarabi, Mohammad Hadi; ",Microstructural alterations of cerebellar peduncles in multiple sclerosis: a diffusion tensor imaging study,Acta Neurologica Belgica,125,3,679-689,2025,Springer International Publishing Cham
"Rostami, Farzad; Soltani, Sarvenaz; Grafman, Jordan; Heyrani, Raheleh; Yazdanpanah, Aryan; Jahanbakhshi, Amin; Vahabie, Abdol-Hossein; Shariat, Seyed Vahid; Abdolalizadeh, AmirHussein; Mirfazeli, Fatemeh Sadat; ",Risky Choices After Frontal Brain Injury: Differential Effects in Self vs Other-Decision Contexts,bioRxiv,,,2025.11. 21.689684,2025,Cold Spring Harbor Laboratory
"Deng, Yan; Saleh, Amir Hussein Abdolalizadeh; Schmitt, Tina; Thiel, Christiane; ",Functional connectivity in cognitive-motor dual tasks: a comparison of neural mechanisms in healthy older and younger adults,Clinical Neurophysiology,176,,2110858,2025,Elsevier
"Saleh, Amir Hussein Abdolalizadeh; Rosemann, Stephanie; Tahmasian, Masoud; Thiel, Christiane; ",White matter microstructural alterations associated with REM-sleep behavior disorder in prodromal Parkinson’s disease: a fixel-based analysis,Clinical Neurophysiology,176,,2110866,2025,Elsevier
"Al-Naji, Anas; Abdolalizadeh, Amirhussein; Kristanto, Daniel; ",Morphometric Latent Factors in Autism and Their Association with Receptor Profiles and Behavior,bioRxiv,,,,2025,Cold Spring Harbor Laboratory
"Kristanto, Daniel; De Castro, Daniela Rodriguez; Saleh, Amirhussein Abdolalizadeh; ",The Research Landscape of Dynamic Functional Connectivity in Parkinson's Disease: Systematic Review and Interactive Tool,bioRxiv,,,2025.12. 08.692999,2025,Cold Spring Harbor Laboratory
"Deng, Yan; Abdolalizadeh, AmirHussein; Fakhar, Kayson; Schmitt, Tina; Witt, Karsten; Gießing, Carsten; Rieger, Jochem W; Thiel, Christiane M; ",Domain-Specific Functional Network Adaptations Supporting Dual-Task Performance in Older Adults,bioRxiv,,,2025.09. 28.678786,2025,Cold Spring Harbor Laboratory
